job_id;job_title_short;job_location_city;job_via;job_schedule_type;job_work_from_home;job_posted_month;job_no_degree_mention
888978;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
953118;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
39719;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
542714;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
780159;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
6274;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
83668;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
114638;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
394543;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
523871;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
541175;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
697874;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
740794;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1413799;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
118261;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
228718;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1003991;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1197470;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
1297690;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
87645;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
336362;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1637000;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
206831;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
903899;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
837326;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
507870;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
567464;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
708159;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1271099;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
357007;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
794261;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1002914;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
242153;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
327716;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
536116;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
67662;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
84240;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
294946;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
296129;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
746562;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
378687;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1749599;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
891395;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
763179;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
942185;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1138954;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
189191;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
57295;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
325098;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
541012;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
662770;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
779882;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1260214;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1651019;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
34419;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
79962;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
162702;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
234836;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
268797;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
661870;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
970466;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1491711;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
1739778;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1012220;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
449204;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
919033;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
533252;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1194007;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
378179;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
515193;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
529226;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
1356534;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
46216;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
58810;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
1311020;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
1758131;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1789056;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
363151;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1117256;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
310480;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
412390;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
580130;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1248713;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1278959;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
109648;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
174517;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
280212;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
596256;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
634331;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
807652;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
19419;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
94020;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
220648;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
402809;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
790944;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
1197843;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
599122;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
996913;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
60825;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
1475617;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
364434;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
447449;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
525594;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
555352;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
51124;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
71438;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1009376;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1778656;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
205715;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
1287409;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1366720;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1367696;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1377363;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
1462341;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1544474;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
957265;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1360076;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1418305;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1649261;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
6077;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
321938;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
378858;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
551500;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
1291585;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1514318;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1581736;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
205292;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
969181;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1318686;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1345969;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1413225;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1681852;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
1684154;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
45162;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
90928;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
155063;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
324159;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
485208;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
827124;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
862034;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
991044;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1143982;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
99777;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
413627;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1043997;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1493392;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1699536;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
1759559;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
7313;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;July;FALSE
26144;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
179951;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
287086;Data Scientist;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
